IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
166078000,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,7:19,SOUTHERN,NONE,2ND ST / TOWNSEND ST,-122.3905314,37.78060708,"(37.7806070798477, -122.390531404145)",1.66E+13
166077626,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,4/1/16,0:01,PARK,NONE,200 Block of SCOTT ST,-122.4355383,37.77194898,"(37.7719489777687, -122.435538291894)",1.66E+13
166077610,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,20:00,PARK,NONE,1100 Block of DIVISADERO ST,-122.4387088,37.78015018,"(37.7801501826101, -122.438708764806)",1.66E+13
166077604,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,18:00,PARK,NONE,500 Block of PIERCE ST,-122.434459,37.77494671,"(37.7749467149799, -122.434458952027)",1.66E+13
166077381,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,17:00,CENTRAL,NONE,CLAY ST / THE EMBARCADERONORTH ST,-122.3945446,37.79574397,"(37.7957439713515, -122.394544587538)",1.66E+13
166076963,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,4/1/16,20:00,NORTHERN,NONE,400 Block of OCTAVIA ST,-122.4241513,37.77598111,"(37.7759811098104, -122.42415131504)",1.66E+13
166076935,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,4/1/16,4:00,NORTHERN,NONE,3200 Block of STEINER ST,-122.4376214,37.79892482,"(37.7989248224108, -122.437621392217)",1.66E+13
166076929,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,16:30,BAYVIEW,NONE,700 Block of INNES AV,-122.3729261,37.73045996,"(37.7304599610397, -122.372926079722)",1.66E+13
166076894,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,10:30,BAYVIEW,NONE,300 Block of MISSOURI ST,-122.3963958,37.76193189,"(37.7619318873115, -122.396395822907)",1.66E+13
166076850,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,23:30,NORTHERN,NONE,1500 Block of VANNESS AV,-122.4220627,37.78992,"(37.7899200014841, -122.422062730264)",1.66E+13
166076399,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,16:30,MISSION,NONE,GUERRERO ST / 14TH ST,-122.4244127,37.76800542,"(37.7680054163824, -122.424412715064)",1.66E+13
166076333,LARCENY/THEFT,GRAND THEFT BICYCLE,Friday,4/1/16,0:03,CENTRAL,NONE,1500 Block of SACRAMENTO ST,-122.4184062,37.79175718,"(37.7917571766134, -122.41840622692)",1.66E+13
166076327,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,20:30,CENTRAL,NONE,WASHINGTON ST / DRUMM ST,-122.3969624,37.79634787,"(37.7963478739442, -122.396962385547)",1.66E+13
166076311,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,4/1/16,21:00,CENTRAL,NONE,BEACH ST / TAYLOR ST,-122.4156188,37.8072756,"(37.8072756032801, -122.415618823722)",1.66E+13
166076305,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,19:30,CENTRAL,NONE,NORTHPOINT ST / KEARNY ST,-122.4072787,37.80741901,"(37.8074190149002, -122.407278660793)",1.66E+13
166076292,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,21:15,CENTRAL,NONE,LOMBARD ST / SANSOME ST,-122.4033522,37.80402961,"(37.8040296057521, -122.403352206927)",1.66E+13
166076286,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,10:15,CENTRAL,NONE,1100 Block of THE EMBARCADERONORTH ST,-122.4025648,37.80477157,"(37.8047715653509, -122.40256476079)",1.66E+13
166076270,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,17:05,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.66E+13
166076264,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,15:00,CENTRAL,NONE,BEACH ST / JONES ST,-122.4172651,37.80707305,"(37.807073051215, -122.417265053145)",1.66E+13
166076242,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,4:15,CENTRAL,NONE,0 Block of GEARY ST,-122.4042776,37.78791853,"(37.7879185264229, -122.404277568186)",1.66E+13
166076173,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,23:55,TARAVAL,NONE,OCEAN AV / KEYSTONE WY,-122.4628134,37.72548115,"(37.7254811539005, -122.462813396923)",1.66E+13
166075959,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,21:00,RICHMOND,NONE,7500 Block of GEARY BL,-122.5007857,37.77929049,"(37.7792904895729, -122.500785697687)",1.66E+13
166075937,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,19:15,RICHMOND,NONE,2100 Block of CLEMENT ST,-122.4822113,37.78218442,"(37.7821844214735, -122.482211289161)",1.66E+13
166075915,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,17:00,RICHMOND,NONE,0 Block of LUPINE AV,-122.4483179,37.78435369,"(37.7843536855849, -122.448317927007)",1.66E+13
166075896,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Friday,4/1/16,2:00,NORTHERN,NONE,1100 Block of SUTTER ST,-122.4193173,37.7879137,"(37.7879136979106, -122.41931732407)",1.66E+13
166075880,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,15:15,RICHMOND,NONE,200 Block of MARTIN LUTHER KING JR DR,-122.4624894,37.76695917,"(37.7669591731812, -122.462489351639)",1.66E+13
166075830,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,22:00,NORTHERN,NONE,CHESTNUT ST / BUCHANAN ST,-122.4329594,37.80123515,"(37.8012351482991, -122.432959444152)",1.66E+13
166075777,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,4/1/16,19:45,SOUTHERN,NONE,8TH ST / MISSION ST,-122.4131609,37.77745666,"(37.7774566611807, -122.41316085097)",1.66E+13
166075755,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,19:45,SOUTHERN,NONE,200 Block of 7TH ST,-122.4085507,37.77738856,"(37.7773885566219, -122.408550681867)",1.66E+13
166075664,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,4/1/16,23:00,NORTHERN,NONE,POLK ST / VALLEJO ST,-122.421963,37.79689897,"(37.796898966685, -122.421962957931)",1.66E+13
166075664,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,23:00,NORTHERN,NONE,POLK ST / VALLEJO ST,-122.421963,37.79689897,"(37.796898966685, -122.421962957931)",1.66E+13
166075658,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,18:30,NORTHERN,NONE,VANNESS AV / GROVE ST,-122.4198849,37.77825108,"(37.7782510832412, -122.419884939457)",1.66E+13
166075642,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,15:00,NORTHERN,NONE,STEINER ST / GOLDEN GATE AV,-122.4335978,37.77935373,"(37.7793537315707, -122.433597792607)",1.66E+13
166075636,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,20:20,NORTHERN,NONE,1400 Block of FILLMORE ST,-122.4326809,37.78282145,"(37.782821449014, -122.432680942926)",1.66E+13
166075620,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,20:00,NORTHERN,NONE,GEARY BL / WEBSTER ST,-122.4312069,37.78456812,"(37.7845681170336, -122.431206932079)",1.66E+13
166075614,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,18:30,NORTHERN,NONE,FERN ST / POLK ST,-122.420212,37.78822254,"(37.7882225424263, -122.420211964949)",1.66E+13
166075608,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,9:44,NORTHERN,NONE,800 Block of WEBSTER ST,-122.4300952,37.77837628,"(37.7783762836471, -122.430095242111)",1.66E+13
166075595,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,2:43,NORTHERN,NONE,200 Block of OLIVE ST,-122.4219843,37.78423581,"(37.7842358099695, -122.421984254367)",1.66E+13
166075313,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,19:30,TARAVAL,NONE,1700 Block of 14TH AV,-122.4708827,37.75605634,"(37.7560563366521, -122.470882714358)",1.66E+13
166075288,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,14:00,PARK,NONE,100 Block of JOHNFKENNEDY DR,-122.4575076,37.77113324,"(37.7711332354432, -122.457507583541)",1.66E+13
166075266,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,0:01,TARAVAL,NONE,1700 Block of PACHECO ST,-122.4789038,37.75044645,"(37.750446448203, -122.478903847011)",1.66E+13
166075131,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,4/1/16,7:40,RICHMOND,NONE,DIVISADERO ST / BUSH ST,-122.4400645,37.78617798,"(37.7861779818819, -122.440064505046)",1.66E+13
160334286,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,12:00,TARAVAL,NONE,1800 Block of 38TH AV,-122.4968364,37.75238845,"(37.7523884488118, -122.496836356475)",1.60E+13
160334098,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,4/1/16,12:00,BAYVIEW,NONE,200 Block of WATERVILLE ST,-122.4022314,37.73171298,"(37.7317129800686, -122.40223143363)",1.60E+13
160331884,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,4/1/16,18:00,SOUTHERN,NONE,0 Block of ESSEX ST,-122.3950625,37.78599306,"(37.7859930647181, -122.395062469002)",1.60E+13
160319125,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Friday,4/1/16,20:00,RICHMOND,NONE,300 Block of EWING TR,-122.448735,37.77951522,"(37.7795152244005, -122.448734990946)",1.60E+13
160315606,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,4/1/16,13:15,CENTRAL,NONE,1400 Block of HYDE ST,-122.4180941,37.79412545,"(37.7941254463714, -122.41809407908)",1.60E+13
160315515,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,4/1/16,12:00,PARK,NONE,1200 Block of WALLER ST,-122.4442884,37.76933436,"(37.7693343633403, -122.444288355683)",1.60E+13
160315292,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,4/1/16,0:01,MISSION,NONE,300 Block of CAPP ST,-122.4181243,37.76109012,"(37.7610901240738, -122.418124262331)",1.60E+13
160312210,MISSING PERSON,MISSING ADULT,Friday,4/1/16,10:35,CENTRAL,NONE,700 Block of VALLEJO ST,-122.409213,37.79846697,"(37.7984669746847, -122.409212989898)",1.60E+13
160309392,FRAUD,FRAUDULENT CREDIT APPLICATION,Friday,4/1/16,13:00,RICHMOND,NONE,500 Block of ELCAMINODELMAR ST,-122.4890841,37.78770857,"(37.7877085708736, -122.489084101153)",1.60E+13
160307960,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Friday,4/1/16,22:00,SOUTHERN,NONE,MARKET ST / 5TH ST,-122.4080683,37.78399168,"(37.7839916768161, -122.408068345148)",1.60E+13
160307948,SECONDARY CODES,JUVENILE INVOLVED,Friday,4/1/16,22:00,MISSION,NONE,3200 Block of 22ND ST,-122.4204054,37.75527551,"(37.7552755085629, -122.420405448858)",1.60E+13
160307948,ASSAULT,CHILD ABUSE (PHYSICAL),Friday,4/1/16,22:00,MISSION,NONE,3200 Block of 22ND ST,-122.4204054,37.75527551,"(37.7552755085629, -122.420405448858)",1.60E+13
160303344,TRESPASS,LODGING WITHOUT PERMISSION,Friday,4/1/16,7:00,SOUTHERN,NONE,400 Block of BERRY ST,-122.3982227,37.77201612,"(37.7720161231813, -122.3982226939)",1.60E+13
160301047,FORGERY/COUNTERFEITING,"MONEY, CHANGING FACE AMOUNT",Friday,4/1/16,18:06,NORTHERN,NONE,1600 Block of POLK ST,-122.4208964,37.79195678,"(37.7919567788031, -122.420896415028)",1.60E+13
160301019,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,21:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.60E+13
160301019,OTHER OFFENSES,FALSE PERSONATION,Friday,4/1/16,21:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.60E+13
160300419,FORGERY/COUNTERFEITING,"FORGERY, DRIVERS LICENSE OR ID-CARD",Friday,4/1/16,12:00,SOUTHERN,NONE,0 Block of LANSING ST,-122.3938706,37.78605817,"(37.7860581689665, -122.393870555259)",1.60E+13
160300419,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,4/1/16,12:00,SOUTHERN,NONE,0 Block of LANSING ST,-122.3938706,37.78605817,"(37.7860581689665, -122.393870555259)",1.60E+13
160300259,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Friday,4/1/16,8:00,SOUTHERN,NONE,1500 Block of MARKET ST,-122.4205654,37.77425151,"(37.7742515142555, -122.420565431007)",1.60E+13
160297468,FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,4/1/16,4:30,TENDERLOIN,NONE,300 Block of GOLDEN GATE AV,-122.416352,37.78160314,"(37.7816031438671, -122.416351987352)",1.60E+13
160297452,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,4/1/16,12:00,TENDERLOIN,NONE,MARKET ST / HYDE ST,-122.4147438,37.77871926,"(37.778719262789, -122.414743835382)",1.60E+13
160293159,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Friday,4/1/16,0:01,SOUTHERN,NONE,1200 Block of HOWARD ST,-122.4124474,37.77563367,"(37.775633673443, -122.412447373124)",1.60E+13
160293159,TRESPASS,TRESPASSING,Friday,4/1/16,0:01,SOUTHERN,NONE,1200 Block of HOWARD ST,-122.4124474,37.77563367,"(37.775633673443, -122.412447373124)",1.60E+13
160292719,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Friday,4/1/16,8:00,MISSION,NONE,2000 Block of MISSION ST,-122.4196583,37.76422056,"(37.7642205603745, -122.41965834371)",1.60E+13
160290553,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,4/1/16,17:00,CENTRAL,NONE,BUSH ST / POWELL ST,-122.4087875,37.79015782,"(37.7901578215257, -122.408787528948)",1.60E+13
160290224,"SEX OFFENSES, FORCIBLE",SEXUAL BATTERY,Friday,4/1/16,18:30,NORTHERN,NONE,1200 Block of VANNESS AV,-122.4218856,37.78731206,"(37.78731205664, -122.421885585728)",1.60E+13
160287516,DISORDERLY CONDUCT,MAINTAINING A PUBLIC NUISANCE,Friday,4/1/16,0:01,NORTHERN,NONE,1300 Block of LARKIN ST,-122.4188729,37.79032688,"(37.7903268780521, -122.418872948234)",1.60E+13
160285059,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,4/1/16,21:00,BAYVIEW,NONE,900 Block of MARIN ST,-122.3859628,37.74903835,"(37.7490383530142, -122.385962848736)",1.60E+13
160284697,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Friday,4/1/16,6:23,PARK,NONE,0 Block of LOCKSLEY AV,-122.4633116,37.7592203,"(37.7592202975893, -122.46331160715)",1.60E+13
160284142,MISSING PERSON,MISSING ADULT,Friday,4/1/16,15:00,TENDERLOIN,NONE,400 Block of EDDY ST,-122.4150669,37.78356348,"(37.7835634796332, -122.41506687647)",1.60E+13
160283354,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Friday,4/1/16,8:00,BAYVIEW,NONE,800 Block of JAMESTOWN AV,-122.3911499,37.71722305,"(37.7172230540399, -122.391149944463)",1.60E+13
160282033,MISSING PERSON,MISSING JUVENILE,Friday,4/1/16,12:00,BAYVIEW,NONE,200 Block of WILLIAMS AV,-122.3977444,37.72993469,"(37.7299346936044, -122.397744427103)",1.60E+13
160282033,MISSING PERSON,MISSING ADULT,Friday,4/1/16,12:00,BAYVIEW,NONE,200 Block of WILLIAMS AV,-122.3977444,37.72993469,"(37.7299346936044, -122.397744427103)",1.60E+13
160280930,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,4/1/16,19:00,CENTRAL,NONE,100 Block of GEARY ST,-122.4058415,37.7877191,"(37.7877190985177, -122.405841476462)",1.60E+13
160280805,TRESPASS,TRESPASSING,Friday,4/1/16,20:31,SOUTHERN,NONE,500 Block of MARKET ST,-122.3999113,37.79055966,"(37.7905596637863, -122.399911318801)",1.60E+13
160280805,ASSAULT,THREATS AGAINST LIFE,Friday,4/1/16,20:31,SOUTHERN,NONE,500 Block of MARKET ST,-122.3999113,37.79055966,"(37.7905596637863, -122.399911318801)",1.60E+13
160280805,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Friday,4/1/16,20:31,SOUTHERN,NONE,500 Block of MARKET ST,-122.3999113,37.79055966,"(37.7905596637863, -122.399911318801)",1.60E+13
160280758,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,4/1/16,0:01,INGLESIDE,NONE,0 Block of FLORENTINE AV,-122.4435642,37.71263962,"(37.7126396228129, -122.443564158397)",1.60E+13
160280598,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,10:00,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707,"(37.8096707013239, -122.365565425353)",1.60E+13
160280491,VEHICLE THEFT,STOLEN MOTORCYCLE,Friday,4/1/16,13:00,BAYVIEW,NONE,CORTLAND AV / BAY SHORE BL,-122.4069795,37.73956696,"(37.739566960911, -122.406979507963)",1.60E+13
160279933,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,23:30,MISSION,NONE,2300 Block of MARKET ST,-122.4340362,37.7632942,"(37.7632941952462, -122.43403618214)",1.60E+13
160279773,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Friday,4/1/16,7:00,TARAVAL,NONE,200 Block of ASHTON AV,-122.4621991,37.72244066,"(37.7224406576708, -122.462199065147)",1.60E+13
160279347,LARCENY/THEFT,"LOST PROPERTY, GRAND THEFT",Friday,4/1/16,15:30,SOUTHERN,NONE,300 Block of 3RD ST,-122.3984724,37.78334209,"(37.7833420916721, -122.398472416)",1.60E+13
160278361,NON-CRIMINAL,LOST PROPERTY,Friday,4/1/16,20:50,RICHMOND,NONE,2000 Block of POST ST,-122.4355758,37.78489228,"(37.784892281882, -122.435575820196)",1.60E+13
160278361,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Friday,4/1/16,20:50,RICHMOND,NONE,2000 Block of POST ST,-122.4355758,37.78489228,"(37.784892281882, -122.435575820196)",1.60E+13
160278117,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,4/1/16,0:01,NORTHERN,NONE,900 Block of EDDY ST,-122.4232902,37.78252051,"(37.7825205059981, -122.423290225168)",1.60E+13
160277965,DISORDERLY CONDUCT,DISTURBING THE PEACE,Friday,4/1/16,16:00,BAYVIEW,NONE,2000 Block of OAKDALE AV,-122.3987255,37.73942926,"(37.7394292585009, -122.398725523286)",1.60E+13
160277589,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Friday,4/1/16,21:00,RICHMOND,NONE,400 Block of POINTLOBOS AV,-122.5081075,37.77999536,"(37.7799953645239, -122.508107482192)",1.60E+13
160277307,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,4/1/16,11:00,SOUTHERN,NONE,100 Block of OTIS ST,-122.4203035,37.77089689,"(37.770896885856, -122.420303482492)",1.60E+13
160277169,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,4/1/16,13:33,SOUTHERN,"ARREST, BOOKED",MARKET ST / TURK ST,-122.4089536,37.78328787,"(37.783287873572, -122.408953598279)",1.60E+13
160277169,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,4/1/16,13:33,SOUTHERN,"ARREST, BOOKED",MARKET ST / TURK ST,-122.4089536,37.78328787,"(37.783287873572, -122.408953598279)",1.60E+13
160277125,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,4/1/16,10:00,CENTRAL,NONE,500 Block of STOCKTON ST,-122.4071938,37.7910112,"(37.791011200664, -122.407193783677)",1.60E+13
160277034,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,4/1/16,10:00,INGLESIDE,NONE,600 Block of PARIS ST,-122.4374431,37.71852288,"(37.718522879998, -122.437443109934)",1.60E+13
160276600,OTHER OFFENSES,FALSE PERSONATION,Friday,4/1/16,13:14,CENTRAL,NONE,1300 Block of JONES ST,-122.4146289,37.79366636,"(37.7936663604295, -122.414628915337)",1.60E+13
160276412,BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",Friday,4/1/16,16:00,NORTHERN,NONE,1600 Block of GREEN ST,-122.4262634,37.79724803,"(37.7972480254184, -122.426263381713)",1.60E+13
160276365,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,4/1/16,7:30,INGLESIDE,NONE,100 Block of TIFFANY AV,-122.4211133,37.7451988,"(37.7451988038002, -122.421113318205)",1.60E+13
160276365,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Friday,4/1/16,7:30,INGLESIDE,NONE,100 Block of TIFFANY AV,-122.4211133,37.7451988,"(37.7451988038002, -122.421113318205)",1.60E+13
160276337,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",Friday,4/1/16,18:00,CENTRAL,NONE,500 Block of PACIFIC AV,-122.4046774,37.79711579,"(37.7971157930221, -122.404677401547)",1.60E+13
160276230,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,4/1/16,15:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.60E+13
160276230,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,4/1/16,15:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071,"(37.775420706711, -122.403404791479)",1.60E+13
160275668,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,4/1/16,19:00,NORTHERN,NONE,1300 Block of GREENWICH ST,-122.421915,37.80078121,"(37.8007812085936, -122.4219150033)",1.60E+13
160275458,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,4/1/16,11:00,MISSION,NONE,21ST ST / GUERRERO ST,-122.4233328,37.75676889,"(37.7567688932866, -122.423332805932)",1.60E+13
160275044,VEHICLE THEFT,STOLEN TRUCK,Friday,4/1/16,23:30,BAYVIEW,NONE,1900 Block of MARIPOSA ST,-122.402932,37.76341899,"(37.7634189862937, -122.402931991118)",1.60E+13
160274836,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,4/1/16,17:30,INGLESIDE,NONE,100 Block of OTSEGO AV,-122.4399557,37.72530641,"(37.7253064050481, -122.43995572617)",1.60E+13
160274773,OTHER OFFENSES,CONSPIRACY,Friday,4/1/16,16:00,CENTRAL,"ARREST, BOOKED",1200 Block of COLUMBUS AV,-122.4178608,37.80554039,"(37.8055403898026, -122.417860754956)",1.60E+13
160274773,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,4/1/16,16:00,CENTRAL,"ARREST, BOOKED",1200 Block of COLUMBUS AV,-122.4178608,37.80554039,"(37.8055403898026, -122.417860754956)",1.60E+13
160274773,BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, FORCIBLE ENTRY",Friday,4/1/16,16:00,CENTRAL,"ARREST, BOOKED",1200 Block of COLUMBUS AV,-122.4178608,37.80554039,"(37.8055403898026, -122.417860754956)",1.60E+13
160272385,SECONDARY CODES,DOMESTIC VIOLENCE,Friday,4/1/16,23:00,TENDERLOIN,"ARREST, BOOKED",200 Block of TURK ST,-122.4132375,37.78284302,"(37.7828430233213, -122.413237516676)",1.60E+13
160272307,OTHER OFFENSES,FALSE PERSONATION,Friday,4/1/16,6:15,BAYVIEW,NONE,1200 Block of INGALLS ST,-122.3818673,37.7305668,"(37.7305667976884, -122.381867300078)",1.60E+13
160272131,NON-CRIMINAL,"LICENSE PLATE, RECOVERED",Friday,4/1/16,21:00,INGLESIDE,NONE,NAPLES ST / ITALY AV,-122.4347315,37.71619127,"(37.7161912705012, -122.434731478816)",1.60E+13
